기간	자치구	금융기관	금융기관	금융기관	금융기관	금융기관	금융기관	금융기관	금융기관	금융기관	금융기관	금융기관	금융기관	금융기관	금융기관	금융기관
기간	자치구	합계	한국은행	시중은행	시중은행	시중은행	시중은행	시중은행	시중은행	지방은행	특수은행	특수은행	특수은행	특수은행	기타	기타
기간	자치구	합계	한국은행	우리은행	SC제일은행	KB국민은행	신한은행	한국씨티은행	KEB하나은행	지방은행	IBK기업은행	NH농협은행	수협은행	KDB산업은행	한국수출입은행	외국은행
2016	합계	2,294	2	410	110	405	351	55	401	46	214	176	58	23	2	41
2016	종로구	130	-	22	5	23	18	1	23	-	8	15	1	2	-	12
2016	중구	201	1	37	7	23	30	5	26	6	18	13	6	2	-	27
2016	용산구	84	-	15	4	13	12	2	16	-	11	10	-	1	-	-
2016	성동구	60	-	9	4	13	9	2	10	1	6	4	1	1	-	-
2016	광진구	59	-	11	4	14	9	1	12	1	5	2	-	-	-	-
2016	동대문구	65	-	13	4	11	6	1	11	2	7	7	3	-	-	-
2016	중랑구	34	-	8	1	9	5	-	5	-	2	2	2	-	-	-
2016	성북구	65	-	12	4	11	10	1	15	1	5	5	1	-	-	-
2016	강북구	33	-	5	1	7	3	-	8	-	4	3	2	-	-	-
2016	도봉구	34	-	5	1	8	7	-	6	-	2	4	1	-	-	-
2016	노원구	62	-	12	1	14	8	2	8	1	7	7	1	1	-	-
2016	은평구	46	-	7	2	9	9	1	7	-	4	4	3	-	-	-
2016	서대문구	55	-	13	3	8	9	-	12	-	7	3	-	-	-	-
2016	마포구	97	-	15	4	16	16	2	18	2	12	7	4	1	-	-
2016	양천구	68	-	8	7	14	12	2	13	-	5	5	1	1	-	-
2016	강서구	72	-	15	2	14	15	1	9	1	7	5	3	-	-	-
2016	구로구	70	-	12	3	13	10	-	14	2	13	3	-	-	-	-
2016	금천구	61	-	12	3	10	6	-	8	-	13	5	2	2	-	-
2016	영등포구	135	-	23	5	24	18	3	19	7	15	12	5	2	1	1
2016	동작구	57	-	10	2	12	12	-	10	-	3	5	2	1	-	-
2016	관악구	48	-	12	3	9	9	-	6	-	5	3	1	-	-	-
2016	서초구	210	-	35	11	36	37	7	42	8	16	10	4	3	1	-
2016	강남구	331	1	57	16	55	49	19	61	10	24	26	7	5	-	1
2016	송파구	149	-	29	9	26	23	3	30	2	8	12	6	1	-	-
2016	강동구	68	-	13	4	13	9	2	12	2	7	4	2	-	-	-
2017	합계	2,156	2	402	104	377	351	23	351	46	206	172	60	23	2	37
2017	종로구	126	-	22	5	21	20	1	20	-	8	15	1	2	-	11
2017	중구	191	1	33	6	22	32	5	24	6	16	14	6	2	-	24
2017	용산구	74	-	16	4	11	11	1	13	-	9	8	-	1	-	-
2017	성동구	56	-	9	4	12	10	-	8	1	6	4	1	1	-	-
2017	광진구	56	-	11	4	13	8	-	12	1	5	2	-	-	-	-
2017	동대문구	58	-	13	4	10	5	-	10	2	6	5	3	-	-	-
2017	중랑구	32	-	8	1	7	5	-	5	-	2	2	2	-	-	-
2017	성북구	60	-	10	3	11	9	-	15	1	5	5	1	-	-	-
2017	강북구	29	-	5	1	6	2	-	6	-	4	3	2	-	-	-
2017	도봉구	30	-	5	1	7	5	-	5	-	2	4	1	-	-	-
2017	노원구	59	-	12	1	12	8	1	8	1	7	7	1	1	-	-
2017	은평구	40	-	7	2	9	6	-	5	-	4	4	3	-	-	-
2017	서대문구	54	-	13	3	8	8	-	10	-	7	5	-	-	-	-
2017	마포구	92	-	15	4	16	16	1	17	2	10	6	4	1	-	-
2017	양천구	64	-	8	7	13	10	1	13	-	5	5	1	1	-	-
2017	강서구	67	-	15	2	13	13	-	7	2	7	5	3	-	-	-
2017	구로구	68	-	12	3	13	10	-	13	2	13	2	-	-	-	-
2017	금천구	55	-	11	1	10	5	-	6	-	13	5	2	2	-	-
2017	영등포구	135	-	23	5	24	22	2	17	7	15	11	5	2	1	1
2017	동작구	51	-	10	2	8	11	-	9	-	3	5	2	1	-	-
2017	관악구	47	-	12	3	10	9	-	4	-	5	3	1	-	-	-
2017	서초구	190	-	35	11	32	36	2	32	8	16	10	4	3	1	-
2017	강남구	316	1	55	14	52	57	8	55	9	24	26	9	5	-	1
2017	송파구	144	-	29	9	25	24	1	27	3	7	12	6	1	-	-
2017	강동구	62	-	13	4	12	9	-	10	1	7	4	2	-	-	-
2018	합계	2,139	2	399	99	380	359	23	337	45	207	168	60	21	2	37
2018	종로구	124	-	22	5	21	20	1	19	-	8	14	1	2	-	11
2018	중구	190	1	32	6	23	35	5	21	6	16	14	6	2	-	23
2018	용산구	72	-	15	3	12	11	1	12	-	9	8	1	-	-	-
2018	성동구	58	-	9	4	12	11	-	8	1	7	4	1	1	-	-
2018	광진구	57	-	11	4	14	8	-	12	1	5	2	-	-	-	-
2018	동대문구	57	-	13	4	10	5	-	9	2	6	5	3	-	-	-
2018	중랑구	32	-	8	1	7	5	-	5	-	2	2	2	-	-	-
2018	성북구	57	-	9	3	11	9	-	13	1	5	5	1	-	-	-
2018	강북구	29	-	5	1	6	3	-	5	-	4	3	2	-	-	-
2018	도봉구	29	-	5	1	6	5	-	5	-	2	4	1	-	-	-
2018	노원구	59	-	12	1	13	8	1	8	1	7	6	1	1	-	-
2018	은평구	39	-	7	2	9	6	-	5	-	4	4	2	-	-	-
2018	서대문구	51	-	12	2	8	8	-	9	-	7	5	-	-	-	-
2018	마포구	91	-	16	4	16	16	1	16	1	10	6	4	1	-	-
2018	양천구	63	-	8	6	13	10	1	13	-	5	5	1	1	-	-
2018	강서구	69	-	15	2	13	14	-	7	2	7	6	3	-	-	-
2018	구로구	69	-	12	3	13	10	-	13	2	14	2	-	-	-	-
2018	금천구	54	-	11	1	10	5	-	6	-	13	4	2	2	-	-
2018	영등포구	138	-	23	5	26	22	2	17	7	15	11	5	2	1	2
2018	동작구	50	-	10	2	8	11	-	9	-	3	5	2	-	-	-
2018	관악구	46	-	12	2	10	9	-	4	-	5	3	1	-	-	-
2018	서초구	187	-	35	10	31	37	2	31	8	15	10	4	3	1	-
2018	강남구	314	1	55	14	51	58	8	54	9	25	24	9	5	-	1
2018	송파구	143	-	29	9	25	24	1	26	3	7	12	6	1	-	-
2018	강동구	61	-	13	4	12	9	-	10	1	6	4	2	-	-	-
