기간	자치구	합계	합계	5성급	5성급	4성급	4성급	3성급	3성급	2성급	2성급	1성급	1성급	등급미정	등급미정	가족호텔	가족호텔	호스텔	호스텔	소형호텔	소형호텔	객실이용률	객실이용률	객실이용률	객실이용률	객실이용률	객실이용률	객실이용률	객실이용률	객실이용률	수입실적	수입실적	수입실적
기간	자치구	호텔수	객실수	호텔수	객실수	호텔수	객실수	호텔수	객실수	호텔수	객실수	호텔수	객실수	호텔수	객실수	호텔수	객실수	호텔수	객실수	호텔수	객실수	5성급(특1급)	4성급(특2급)	3성급(1등급)	2성급(2등급)	1성급(3등급)	등급미정	가족호텔	호스텔	소형호텔	합계	객실	부대시설
2018	서울시	440	58,248	26	11,736	43	11,879	86	13,864	60	4,696	64	3,785	55	6,500	19	3,184	74	2,229	13	375	65.7	74.6	76.1	76.7	61.5	63.7	70.7	59.4	43	2,272,283	1,353,361	918,922
2018	종로구	41	3,656	2	487	1	339	8	1,430	9	599	2	64	1	127	1	213	17	397	-	-	-	80.3	83	73.5	46.6	-	-	-	-	54,807	49,962	4,844
2018	중구	97	17,807	7	3,916	14	4,664	32	4,968	9	1,174	1	35	7	1,334	6	1,276	20	415	1	25	66	79.7	82.4	87.3	90.3	78.8	88.2	-	-	855,733	520,681	335,052
2018	용산구	16	3,766	2	1,241	3	1,099	3	617	1	100	4	206	-	-	2	482	-	-	1	21	54.7	62.8	67.9	95.2	48.1	-	31.6	-	49.3	197,116	98,291	98,825
2018	성동구	8	419	-	-	-	-	-	-	4	270	2	100	-	-	-	-	2	49	-	-	-	-	-	78.8	-	-	-	159.7	-	4,347	4,347	-
2018	광진구	13	1,676	1	825	1	84	1	116	3	291	4	251	2	99	-	-	1	10	-	-	54.1	91.9	45.8	57.6	86	-	-	-	-	119,431	49,373	70,058
2018	동대문구	16	1,497	-	-	-	-	1	332	3	224	2	106	7	715	-	-	3	120	-	-	-	-	84.3	60.8	-	51.6	-	-	-	7,719	7,719	-
2018	중랑구	2	109	-	-	-	-	-	-	-	-	-	-	2	109	-	-	-	-	-	-	-	-	-	66.5	-	-	-	-	-	688	688	-
2018	성북구	5	396	-	-	1	190	-	-	1	48	3	158	-	-	-	-	-	-	-	-	-	-	-	-	86.3	-	-	-	-	2,973	2,958	14
2018	강북구	5	372	-	-	-	-	2	188	-	-	1	52	-	-	-	-	2	132	-	-	-	-	-	74.9	67.8	-	-	-	-	2,473	2,384	89
2018	도봉구	3	183	-	-	-	-	-	-	1	72	2	111	-	-	-	-	-	-	-	-	-	-	-	-	68.6	-	-	-	-	751	751	-
2018	노원구	1	84	-	-	-	-	-	-	-	-	1	84	-	-	-	-	-	-	-	-	-	-	-	65.6	-	-	-	-	-	987	987	-
2018	은평구	10	459	-	-	-	-	-	-	1	53	4	241	2	79	-	-	1	38	2	48	-	-	-	-	41.5	-	-	53.3	16.7	874	874	-
2018	서대문구	8	1,025	1	503	-	-	1	319	-	-	2	88	4	115	-	-	-	-	-	-	59.1	-	78.5	-	-	-	93.5	-	-	46,455	23,346	23,109
2018	마포구	23	3,460	1	372	5	1,242	1	94	3	212	-	-	6	1,368	1	56	6	116	-	-	-	74.4	85.2	107.8	66.9	43.9	52.7	92	-	92,608	72,072	20,536
2018	양천구	1	50	-	-	-	-	-	-	-	-	1	50	-	-	-	-	-	-	-	-	-	-	-	-	58.8	-	-	-	-	1,073	1,073	-
2018	강서구	25	2,559	1	239	3	620	5	667	1	87	10	683	2	104	1	31	2	128	-	-	69.5	64.9	49.4	71.6	43.9	56.6	-	-	-	44,001	27,596	16,404
2018	구로구	10	1,470	1	269	2	501	1	283	1	47	-	-	2	269	-	-	3	101	-	-	-	62.4	80.1	64.7	-	72.2	-	-	-	20,977	19,002	1,975
2018	금천구	7	899	-	-	1	218	1	109	-	-	-	-	3	299	-	-	2	273	-	-	-	61.9	70.3	-	-	70.7	-	16.9	-	14,898	10,214	4,684
2018	영등포구	29	3,109	2	753	2	511	2	217	3	192	5	423	2	177	5	581	6	201	2	54	78	76.5	76.8	72.1	53.1	84.4	67.2	-	-	117,953	66,479	51,473
2018	동작구	3	416	-	-	1	43	1	310	-	-	-	-	1	63	-	-	-	-	-	-	-	-	83.2	-	-	82	-	-	-	10,635	8,597	2,038
2018	관악구	12	652	-	-	-	-	2	212	1	66	3	163	1	45	-	-	5	166	-	-	-	-	65	-	39.2	-	-	8.1	-	4,689	4,510	178
2018	서초구	14	2,291	2	720	1	250	3	601	3	223	2	123	1	193	1	160	1	21	-	-	58.4	69.7	78.8	49.9	80.5	10.2	-	-	-	58,336	31,281	27,055
2018	강남구	68	9,504	4	1,694	8	2,118	17	2,652	10	635	8	406	11	1,351	2	385	2	56	6	207	74.3	75.4	75.7	65.5	70.8	55.3	88.3	-	-	485,764	286,488	199,276
2018	송파구	18	2,087	2	717	-	-	4	699	6	403	3	189	1	53	-	-	1	6	1	20	66.1	-	44.4	76.6	-	-	-	153	-	123,797	60,484	63,312
2018	강동구	5	302	-	-	-	-	1	50	-	-	4	252	-	-	-	-	-	-	-	-	-	-	-	-	60.9	-	-	-	-	3,202	3,202	-
