기간	자치구	합계	합계	합계	합계	고속도로	고속도로	일반국도	일반국도	일반국도	일반국도	특별시도	특별시도	특별시도	특별시도
기간	자치구	계	계	포장	포장	포장	포장	계	계	포장	포장	계	계	포장	포장
기간	자치구	연장	면적	연장	면적	연장	면적	연장	면적	연장	면적	연장	면적	연장	면적
2017	금천구	188,448	2,159,744	188,448	2,159,744	3,190	58,000	6,130	245,472	6,130	245,472	179,128	1,856,272	179,128	1,856,272
2017	영등포구	389,038	4,434,015	389,038	4,434,015	-	-	12,150	422,500	12,150	422,500	376,888	4,011,515	376,888	4,011,515
2017	동작구	248,238	2,734,186	248,238	2,734,186	-	-	2,900	101,500	2,900	101,500	245,338	2,632,686	245,338	2,632,686
2017	관악구	322,203	3,028,487	322,203	3,028,487	-	-	2,100	96,600	2,100	96,600	320,103	2,931,887	320,103	2,931,887
2017	서초구	394,789	5,729,263	394,789	5,729,263	5,210	225,510	4,200	202,360	4,200	202,360	385,379	5,301,393	385,379	5,301,393
2017	강남구	434,649	5,669,904	434,649	5,669,904	620	11,656	7,900	380,640	7,900	380,640	426,129	5,277,608	426,129	5,277,608
2017	송파구	367,200	4,868,975	367,200	4,868,975	4,500	169,200	6,150	265,920	6,150	265,920	356,550	4,433,855	356,550	4,433,855
2017	강동구	289,924	3,522,054	289,924	3,522,054	4,350	163,560	7,150	309,180	7,150	309,180	278,424	3,049,314	278,424	3,049,314
2018	서울시	8,273,356	86,057,832	8,273,356	86,057,832	27,610	953,546	168,880	6,219,938	168,880	6,219,938	8,076,866	78,884,348	8,076,866	78,884,348
2018	종로구	275,032	2,688,271	275,032	2,688,271	-	-	7,450	319,500	7,450	319,500	267,582	2,368,771	267,582	2,368,771
2018	중구	114,232	1,876,189	114,232	1,876,189	-	-	8,060	313,400	8,060	313,400	106,172	1,562,789	106,172	1,562,789
2018	용산구	280,679	3,150,277	280,679	3,150,277	-	-	4,700	258,994	4,700	258,994	275,979	2,891,283	275,979	2,891,283
2018	성동구	408,339	3,024,659	408,339	3,024,659	-	-	5,980	221,750	5,980	221,750	402,359	2,802,909	402,359	2,802,909
2018	광진구	324,237	3,396,817	324,237	3,396,817	-	-	10,320	298,002	10,320	298,002	313,917	3,098,815	313,917	3,098,815
2018	동대문구	327,382	3,144,310	327,382	3,144,310	-	-	11,100	350,430	11,100	350,430	316,282	2,793,880	316,282	2,793,880
2018	중랑구	334,013	2,938,827	334,013	2,938,827	2,650	81,090	11,200	353,570	11,200	353,570	320,163	2,504,167	320,163	2,504,167
2018	성북구	627,414	4,014,836	627,414	4,014,836	-	-	2,350	70,500	2,350	70,500	625,064	3,944,336	625,064	3,944,336
2018	강북구	226,714	1,974,677	226,714	1,974,677	-	-	3,300	86,000	3,300	86,000	223,414	1,888,677	223,414	1,888,677
2018	도봉구	257,431	2,349,572	257,431	2,349,572	-	-	5,900	236,000	5,900	236,000	251,531	2,113,572	251,531	2,113,572
2018	노원구	296,067	3,833,496	296,067	3,833,496	3,600	137,250	-	-	-	-	292,467	3,696,246	292,467	3,696,246
2018	은평구	351,997	3,332,877	351,997	3,332,877	-	-	6,300	220,500	6,300	220,500	345,697	3,112,377	345,697	3,112,377
2018	서대문구	311,206	2,744,932	311,206	2,744,932	-	-	10,450	350,500	10,450	350,500	300,756	2,394,432	300,756	2,394,432
2018	마포구	420,428	4,059,660	420,428	4,059,660	-	-	11,750	385,400	11,750	385,400	408,678	3,674,260	408,678	3,674,260
2018	양천구	403,922	3,616,228	403,922	3,616,228	500	17,280	-	-	-	-	403,422	3,598,948	403,422	3,598,948
2018	강서구	385,177	4,596,428	385,177	4,596,428	2,990	90,000	15,050	465,292	15,050	465,292	367,137	4,041,136	367,137	4,041,136
2018	구로구	294,178	3,162,493	294,178	3,162,493	-	-	6,290	265,928	6,290	265,928	287,888	2,896,565	287,888	2,896,565
2018	금천구	188,448	2,159,744	188,448	2,159,744	3,190	58,000	6,130	245,472	6,130	245,472	179,128	1,856,272	179,128	1,856,272
2018	영등포구	389,191	4,435,768	389,191	4,435,768	-	-	12,150	422,500	12,150	422,500	377,041	4,013,268	377,041	4,013,268
2018	동작구	248,238	2,734,186	248,238	2,734,186	-	-	2,900	101,500	2,900	101,500	245,338	2,632,686	245,338	2,632,686
2018	관악구	322,203	3,028,487	322,203	3,028,487	-	-	2,100	96,600	2,100	96,600	320,103	2,931,887	320,103	2,931,887
2018	서초구	394,580	5,728,307	394,580	5,728,307	5,210	225,510	4,200	202,360	4,200	202,360	385,170	5,300,437	385,170	5,300,437
2018	강남구	434,999	5,673,004	434,999	5,673,004	620	11,656	7,900	380,640	7,900	380,640	426,479	5,280,708	426,479	5,280,708
2018	송파구	367,200	4,869,731	367,200	4,869,731	4,500	169,200	6,150	265,920	6,150	265,920	356,550	4,434,611	356,550	4,434,611
2018	강동구	290,049	3,524,056	290,049	3,524,056	4,350	163,560	7,150	309,180	7,150	309,180	278,549	3,051,316	278,549	3,051,316
