기간	자치구	사설학원	사설학원	사설학원	사설학원	사설학원	사설학원	사설학원	사설학원	사설학원	사설학원	사설학원	사설학원	사설학원	사설학원	사설학원	사설학원	사설학원	사설학원	독서실	독서실	독서실	독서실
기간	자치구	학원수	학원수	학원수	학원수	학원수	학원수	학원수	학원수	학원수	학원수	학원수	학원수	학원수	학원수	정원	강사수	강사수	강의실수	독서실수	독서실수	독서실수	열람실수
기간	자치구	계	학교교과교습학원	학교교과교습학원	학교교과교습학원	학교교과교습학원	학교교과교습학원	학교교과교습학원	학교교과교습학원	평생직업교육학원	평생직업교육학원	평생직업교육학원	평생직업교육학원	평생직업교육학원	평생직업교육학원	정원	강사수	강사수	강의실수	계	학교교과교습학원	평생직업교육학원	열람실수
기간	자치구	계	소계	입시검정 및 보습	국제화	예능	특수교육	종합	기타	소계	직업기술	국제화	인문사회	기예	종합	정원	계	여자	강의실수	계	학교교과교습학원	평생직업교육학원	열람실수
2017	동작구	472	365	221	27	88	-	6	23	107	17	-	66	15	9	90,865	4,695	1,747	1,912	94	22	72	442
2017	관악구	455	366	226	17	105	-	8	10	89	36	2	23	26	2	44,892	2,177	1,221	1,648	94	27	67	521
2017	서초구	1,090	835	535	79	141	-	27	53	255	112	34	31	60	18	225,440	8,902	5,032	6,273	67	63	4	408
2017	강남구	2,246	1,744	1,111	202	239	-	63	129	502	207	87	40	143	25	454,331	21,055	9,337	12,745	125	114	11	769
2017	송파구	1,093	1,023	665	66	232	-	14	46	70	37	4	5	21	3	90,488	5,013	3,181	6,658	103	103	-	818
2017	강동구	669	631	413	23	143	-	11	41	38	16	2	2	17	1	47,989	2,565	1,583	3,881	66	64	2	774
2018	합계	14,080	11,835	7,791	779	2,412	2	303	548	2,245	1,006	227	253	598	161	4,412,948	87,410	48,204	66,803	1,183	966	217	9,206
2018	종로구	274	100	73	5	13	1	1	7	174	64	32	24	33	21	441,524	3,266	1,806	1,043	15	8	7	53
2018	중구	119	57	38	7	8	-	1	3	62	35	9	2	12	4	43,361	1,143	499	496	5	4	1	30
2018	용산구	158	128	65	28	27	-	3	5	30	17	3	2	4	4	28,646	812	615	652	9	7	2	100
2018	성동구	314	268	159	16	69	-	11	13	46	26	-	3	14	3	54,247	1,427	953	1,112	22	22	-	138
2018	광진구	430	367	244	25	76	-	5	17	63	26	6	3	25	3	72,044	1,962	1,251	1,695	42	39	3	265
2018	동대문구	363	309	198	17	84	-	5	5	54	28	3	3	15	5	57,442	1,852	1,187	2,389	25	25	-	183
2018	중랑구	273	253	171	8	54	-	12	8	20	11	-	-	8	1	35,977	1,213	789	1,795	20	20	-	238
2018	성북구	464	425	277	21	112	-	5	10	39	19	-	-	17	3	103,117	2,337	1,467	1,890	38	37	1	295
2018	강북구	218	198	150	3	36	-	4	5	20	8	-	1	10	1	45,307	897	618	888	17	16	1	229
2018	도봉구	335	318	224	17	60	-	11	6	17	13	-	1	1	2	107,370	1,246	862	1,454	33	33	-	510
2018	노원구	747	700	489	40	136	-	15	20	47	22	2	11	7	5	146,578	4,410	2,365	3,623	81	79	2	725
2018	은평구	521	480	355	21	90	-	5	9	41	25	-	2	13	1	59,263	1,986	1,260	2,801	43	33	10	593
2018	서대문구	345	287	205	13	47	-	6	16	58	22	8	12	8	8	101,771	2,291	1,340	1,573	40	28	12	224
2018	마포구	644	461	237	31	163	-	5	25	183	63	21	10	81	8	460,233	3,845	2,395	1,969	26	20	6	190
