산업대분류(명부 산업분류코드를 변환),산업중분류(명부 산업분류코드 2자리 자름),행정구역분류코드(명부),"조직형태(1:개인, 2:법인)",정보_산업분류코드,2-1.일반_대표자_성별,3.일반_입지유형,4.일반_사업자형태,5.일반_프랜차이즈가맹점여부,6-1.일반_종사자_1총종사자,6-2.일반_종사자_2대표자,6-3-1.일반_종사자_3근로계약기간_1년이상,6-3-2.일반_종사자_3근로계약기간_3개월이상1년미만,6-4.일반_종사자_4근로계약기간_3개월미만(일용포함),6-5.일반_종사자_5무급가족종사자,7.일반_창업형태,7-1.일반_창업인수승계연월_일반_창업인수승계연월_년,7-1.일반_창업인수승계연월_일반_창업인수승계연월_월,7-2.일반_사업장입주연월_일반_사업장입주연월_년,7-2.일반_사업장입주연월_일반_사업장입주연월_월,8.일반_사업장이전_경험,8-1.일반_사업장이전_사유,9.일반_현사업체_직전종사상지위항목,10.일반_창업횟수,11.창업_동기,12.창업_준비기간_창업_준비기간_년,12.창업_준비기간_창업_준비기간_개월,13-1.창업_준비활동_1사업계획서작성,13-2.창업_준비활동_2시장조사,13-3.창업_준비활동_3동종업종종사경험,13-4.창업_준비활동_4창업교육,14-1.창업_준비활동중요성_1사업계획서작성,14-2.창업_준비활동중요성_2시장조사,14-3.창업_준비활동중요성_3동종업종종사경험,14-4.창업_준비활동중요성_4창업교육,15-1.창업_어려움정도_1입지선정,15-2.창업_어려움정도_2업종선택,15-3.창업_어려움정도_3자금조달,15-4.창업_어려움정도_4기술확보,15-5.창업_어려움정도_5인력확보,15-6.창업_어려움정도_6행정절차,15-7.창업_어려움정도_7경영방법,16-1.창업_비용_총창업비용,16-1-1.창업_비용_1본인부담금액,17-1.경영_영업기간_1하루평균시간,17-2.경영_영업기간_2월평균일수,17-3.경영_영업기간_3연간개월수,18-1.경영_고객결재방법_1현금,18-2.경영_고객결재방법_2카드,18-3.경영_고객결재방법_3간편결제,18-4.경영_고객결재방법_4어음,18-5.경영_고객결재방법_5기타,18-6.경영_고객결재방법_6합계,19.경영_점유형태,19-1.경영_점유형태_임차형태,19-2-1.경영_점유형태_1보증금,19-2-2.경영_점유형태_2월세,19-3.경영_점유형태_일정비율지급,20.경영_운영활동_0,20.경영_운영활동_1,20.경영_운영활동_2,20.경영_운영활동_3,20.경영_운영활동_4,21.경영_단체활동,21-1.경영_단체활동_경영도움,21-2.경영_단체활동_비활동이유,22.경영_연간사업실적_영업비용입력선택,22.경영_연간사업실적_1매출액,22.경영_연간사업실적_2영업비용,22.영업비용_1급여총액,22.영업비용_2임차료,22.영업비용_3기타,22.영업비용비율,22.영업비용비율_1급여총액,22.영업비용비율_2임차료,22.영업비용비율_3기타,22.경영_연간사업실적_3영업이익,23.경영_전자상거래_매출실적여부,23-1.경영_전자상거래_매출비율,24.경영_부채_사업체운영관련부채여부,24-1.경영_부채_부채현황,25.경영_애로사항_0,25.경영_애로사항_1,26.정부지원_지원경험,28.정부지원_추진정책_0,28.정부지원_추진정책_1,29.사업전환_운영계획,29-1.사업전환_운영계획_소유권승계계획,29-2.사업전환_운영계획_사업전환_어려움_0,29-2.사업전환_운영계획_사업전환_어려움_1,29-3.사업전환_운영계획_사업전환_정부지원,29-4.사업전환_운영계획_취업시어려움_0,29-4.사업전환_운영계획_취업시어려움_1,29-5.사업전환_운영계획_취업시정부지원,30.사업전환_노후준비_0,30.사업전환_노후준비_1,30.사업전환_노후준비_2,30.사업전환_노후준비_3,30.사업전환_노후준비_4,조회차수,대표자 연령대(1자리),사업체수 가중치,종사자수 가중치,매출액 가충치
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,30,7,0,100,0,0,0,100,1,,,,,6,,,,,2,,2,1,30,40,22,4,14,,,,,-40,2,,1,2,7,,1,2,6,1,2,,,,,,,1,4,,,,2,5,6.9333,4.9299,6.0156
C,23,3207031,2,23322,1,1,4,2,7,1,6,0,0,0,3,2016,2,2016,2,2,,3,1,,,,,,,,,,,5,5,5,5,5,5,5,5,200,200,8,20,12,0,100,0,0,0,100,1,,,,,6,,,,,1,2,,1,800,5,0,2,3,100,0,40,60,15,2,,2,,1,2,2,1,,1,1,,,,,,,6,,,,,2,6,6,6.6667,10.7252
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,30,7,30,70,0,0,0,100,1,,,,,2,,,,,2,,1,1,8,27,0,0,27,100,0,0,100,23,2,,1,120,2,3,1,1,3,1,1,,,,,,,4,,,,,2,6,32,32.7432,18.0315
C,24,3202032,1,24132,1,1,1,2,4,1,3,0,0,0,1,2008,10,2018,4,1,3,3,1,,,,,,,,,,,,,,,,,,,,,8,20,12,100,0,0,0,0,100,2,5,,,,6,,,,,2,,1,1,120,40,18,0,22,,,,,25,2,,1,50,3,6,2,2,3,1,2,,,,,,,6,,,,,,,,,
F,42,3202060,1,42412,2,1,1,2,2,1,1,0,0,0,1,2017,1,2017,1,2,,3,1,2,3,0,2,1,1,2,3,5,5,2,1,1,5,5,1,1,1,80,80,9,20,12,100,0,0,0,0,100,2,1,500,70,,6,,,,,2,,1,1,200,591,22,62,507,,,,,59,2,,1,150,2,,1,1,5,1,2,,,,,,,1,4,,,,2,4,19.7826,22.56,21.9215
C,20,3433044,1,20313,1,1,1,2,3,1,1,0,0,1,1,2000,3,2000,3,2,,3,1,,,,,,,,,,,4,5,5,5,4,3,4,5,30,0,10,26,12,100,0,0,0,0,100,1,,,,,3,4,,,,2,,4,1,45,320,84,0,236,,,,,40,2,,1,200,2,7,2,2,3,1,1,,,,,,,1,2,4,,,2,2,15.4839,15.0667,13.8911
C,20,3401211,1,20499,1,1,1,2,1,1,0,0,0,0,1,2015,5,2015,5,2,,4,1,2,1,2,2,2,2,2,4,4,4,3,3,3,3,3,2,1,1,42,42,10,30,12,40,60,0,0,0,100,2,1,1000,70,,1,,,,,2,,1,1,110,383,29,0,354,,,,,67,2,,1,500,3,6,1,1,3,1,2,,,,,,,1,4,,,,2,5,3.3509,3.2518,2.7962
G,47,3401158,1,47851,2,1,3,2,1,1,0,0,0,0,1,2017,12,2017,12,2,,2,2,2,1,0,1,1,1,1,4,5,5,,,,,,,,,,,10,26,12,100,0,0,0,0,100,2,1,500,35,,2,,,,,2,,4,1,29,31,0,3,28,,,,,25,2,,1,140,2,6,2,1,3,1,2,,,,,,,1,2,,,,2,5,37.4828,46.0526,25.5601
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,26,12,90,10,0,0,0,100,1,,,,,2,4,,,,1,2,,1,120,4,0,0,4,,,,,4,2,,2,,2,,2,1,7,4,,,,,,,,1,2,,,,2,7,19.2857,19.7143,26.009
C,16,3502038,1,16101,2,1,1,2,7,1,2,0,3,1,1,2004,12,2004,12,2,,2,2,,,,,,,,,,,3,3,2,3,3,4,4,3,50,50,8,22,12,0,0,0,0,0,0,2,5,,,,6,,,,,2,,1,1,0,156,96,0,60,,,,,36,2,,2,,2,3,1,1,2,1,1,,,,,,,1,4,,,,,,,,
